,Atom Details,Label,Acceptor H-Bonds,Donor H-Bonds,Hydrophobic Interactions
Mcr__atom_1,/ppara//A/WAT`1/O,Acceptor,30,5,NA
Mcr__atom_2,/ppara//D/WAT`2/N,Donor,14,15,NA
Mcr__atom_3,/ppara//D/WAT`5/N,Donor,54,25,NA
Mcr__atom_4,/ppara//G/WAT`3/C,Grease,NA,NA,142
Mcr__atom_5,/ppara//G/WAT`4/C,Grease,NA,NA,93
Mcr__atom_6,/ppara//G/WAT`6/C,Grease,NA,NA,93
Mcr__atom_7,/ppara//G/WAT`7/C,Grease,NA,NA,130
