,Atom Details,Label,Acceptor H-Bonds,Donor H-Bonds,Hydrophobic Interactions
Src__atom_1,/ppara//B/WAT`1/O,Donor,39,29,NA
Src__atom_2,/ppara//B/WAT`2/N,Acceptor,39,29,NA
Src__atom_3,/ppara//B/WAT`4/O,Donor,80,36,NA
Src__atom_4,/ppara//B/WAT`5/N,Acceptor,80,36,NA
Src__atom_5,/ppara//G/WAT`3/C,Grease,NA,NA,191
Src__atom_6,/ppara//G/WAT`6/C,Grease,NA,NA,87
