,Atom Details,Label,Acceptor H-Bonds,Donor H-Bonds,Hydrophobic Interactions
Wee1_atom_1,/ppara//B/WAT`2/O,Donor,31,9,NA
Wee1_atom_2,/ppara//B/WAT`3/N,Acceptor,31,9,NA
Wee1_atom_3,/ppara//D/WAT`1/N,Donor,20,19,NA
Wee1_atom_4,/ppara//G/WAT`4/C,Grease,NA,NA,79
Wee1_atom_5,/ppara//G/WAT`5/C,Grease,NA,NA,87
Wee1_atom_6,/ppara//G/WAT`6/C,Grease,NA,NA,71
Wee1_atom_7,/ppara//G/WAT`7/C,Grease,NA,NA,49
Wee1_atom_8,/ppara//G/WAT`8/C,Grease,NA,NA,34
Wee1_atom_9,/ppara//G/WAT`9/C,Grease,NA,NA,53
