,Atom Details,Label,Acceptor H-Bonds,Donor H-Bonds,Hydrophobic Interactions
Urok_atom_1,/ppara//D/WAT`1/N,Donor,19,202,NA
Urok_atom_2,/ppara//G/WAT`2/C,Grease,NA,NA,224
Urok_atom_3,/ppara//G/WAT`3/C,Grease,NA,NA,265
Urok_atom_4,/ppara//G/WAT`4/C,Grease,NA,NA,179
Urok_atom_5,/ppara//G/WAT`5/C,Grease,NA,NA,179
