,Atom Details,Label,Acceptor H-Bonds,Donor H-Bonds,Hydrophobic Interactions
Aldr_atom_1,/ppara//A/WAT`2/O,Acceptor,193,11,NA
Aldr_atom_2,/ppara//A/WAT`3/O,Acceptor,294,61,NA
Aldr_atom_3,/ppara//G/WAT`1/C,Grease,NA,NA,269
Aldr_atom_4,/ppara//G/WAT`4/C,Grease,NA,NA,284
Aldr_atom_5,/ppara//G/WAT`5/C,Grease,NA,NA,139
Aldr_atom_6,/ppara//G/WAT`6/C,Grease,NA,NA,268
